Index,AUTO-cpu-revision,AUTO-gpu-revision,CPU,GPU
240,,,3.6133333333333333,
241,,,3.316666666666667,
242,,,3.35,
243,,,3.3833333333333333,
244,,,3.4566666666666666,
245,,,3.4666666666666663,
246,,,3.466666666666667,
247,,,3.4633333333333334,
248,,,3.4599999999999995,
249,,,3.4599999999999995,
250,,,3.456666666666667,
251,,,3.456666666666667,
252,,,3.453333333333333,
253,,,3.4500000000000006,
254,,,3.126666666666667,
255,,,3.09,
256,,,3.0533333333333332,
257,,,2.1633609333333332,
258,,,2.1633621333333335,
259,,,2.5600300333333332,
260,,,2.5900312333333333,
261,,,2.6233657999999997,
262,,,2.656700333333333,
263,,,2.6867016666666665,
264,,,2.720036,
265,,,2.7500373333333332,
266,,,2.783372,
267,,,1.9367063333333334,
268,,,2.006698033333333,
269,,,2.0233647,
270,,,2.0200313666666667,
271,,,2.0133647,
272,,,1.7633647000000001,
273,,,1.7267150000000002,
274,,,1.9867160000000001,
275,,,1.9867173333333332,
276,,,1.980052,
277,,,1.9733863333333332,
278,,,1.9700543333333336,
279,,,1.966722,
280,,,2.9450000000000003,
281,,,1.6200500000000002,
282,,,1.6650515000000001,
283,,,1.7150525,
284,,,1.760054,
285,,,1.8100675000000002,
286,,,1.855069,
287,,,1.9000705,
288,,,1.950072,
289,,,1.5800735000000001,
290,,,1.5800755,
291,,,1.5800770000000002,
292,,,1.5800785000000002,
293,,,1.580095,
294,,,1.580095,
295,,,1.5801035,
296,,,1.5801035,
