"Time","GPU 0","GPU 0"
2025-09-18 11:17:06,65%,
2025-09-18 11:17:08,62%,
2025-09-18 11:17:10,59%,
2025-09-18 11:17:12,62%,
2025-09-18 11:17:14,60%,
2025-09-18 11:17:16,60%,
2025-09-18 11:17:18,46%,
2025-09-18 11:17:20,63%,
2025-09-18 11:17:22,60%,
2025-09-18 11:17:24,56%,
2025-09-18 11:17:26,60%,
2025-09-18 11:17:28,58%,
2025-09-18 11:17:30,59%,
2025-09-18 11:17:32,58%,
2025-09-18 11:17:34,58%,
2025-09-18 11:17:36,52%,
2025-09-18 11:17:38,59%,
2025-09-18 11:17:40,59%,
2025-09-18 11:17:42,66%,
2025-09-18 11:17:44,63%,
2025-09-18 11:17:46,64%,
2025-09-18 11:17:48,0%,
2025-09-18 11:17:50,0%,
2025-09-18 11:17:52,0%,
2025-09-18 11:17:54,0%,
2025-09-18 11:17:56,0%,
2025-09-18 11:17:58,0%,
2025-09-18 11:18:00,0%,
2025-09-18 11:18:02,0%,
2025-09-18 11:18:04,0%,
2025-09-18 11:18:06,0%,
2025-09-18 11:18:08,0%,
2025-09-18 11:18:10,0%,
2025-09-18 11:18:12,0%,
2025-09-18 11:18:14,0%,
2025-09-18 11:18:16,0%,
2025-09-18 11:18:18,0%,
2025-09-18 11:18:20,0%,
2025-09-18 11:18:22,0%,
2025-09-18 11:18:24,0%,
2025-09-18 11:18:26,0%,
2025-09-18 11:18:28,0%,
2025-09-18 11:18:30,0%,
2025-09-18 11:18:32,0%,
2025-09-18 11:18:34,0%,
2025-09-18 11:18:36,0%,
2025-09-18 11:18:38,0%,
2025-09-18 11:18:40,0%,
2025-09-18 11:18:42,0%,
2025-09-18 11:18:44,0%,
